"Failed to save postnl order information.","Failed to save postnl order information."
"Please choose delivery options.","Please choose delivery options."
"House number","House number"
"House number addition","House number addition"
"Daytime","Daytime"
"Evening","Evening"
"Morning","Morning"
"%1 address cannot be shown due to a technical malfunction.","%1 address cannot be shown due to a technical malfunction."
"Pickup","Pickup"
"Please enter a valid Dutch postcode (e.g. 1234 AB).","Please enter a valid Dutch postcode (e.g. 1234 AB)."
"Unexpected error occurred. Please fill in the address details manually.","Unexpected error occurred. Please fill in the address details manually."
"Sorry, we could not find your address with the zipcode and housenumber combination (%s). Please check the entered postcode and house number and correct them where necessary.","Sorry, we could not find your address with the zipcode and housenumber combination (%s). Please check the entered postcode and house number and correct them where necessary."
"Delivery","Delivery"
"Please enter a valid house number.","Please enter a valid house number."
"Change location","Change location"
"Pickup locations are disabled for Letterbox packages.","Pickup locations are disabled for Letterbox packages."
"Show opening hours","Show opening hours"
"Hide opening hours","Hide opening hours"
"From 15:00","From 15:00"
"Extra service","Extra service"
"Do not deliver to neighbours","Do not deliver to neighbours"
