"Failed to save postnl order information.","Het opslaan van de PostNL orderinformatie is mislukt."
"Please choose delivery options.","Kies de bezorgopties."
"House number","Huisnummer"
"House number addition","Huisnummer toevoeging"
"Daytime","Overdag"
"Evening","Avond"
"Morning","Ochtend"
"%1 address cannot be shown due to a technical malfunction.",Adres %1 kan niet worden weergegeven vanwege een technische storing.
"Pickup","Ophalen"
"Please enter a valid Dutch postcode (e.g. 1234 AB).",Voer een geldige Nederlandse postcode in (bijv. 1234 AB).
"Unexpected error occurred. Please fill in the address details manually.","Er is een onverwachte fout opgetreden. Vul s.v.p. handmatig uw adresgegevens in."
"Sorry, we could not find your address with the zipcode and housenumber combination (%s). Please check the entered postcode and house number and correct them where necessary.","Uw postcode/huisnummer combinatie (%s) is niet gevonden. Controleer de ingevulde postcode en het huisnummer en corrigeer deze waar nodig."
"Delivery","Bezorgen"
"Please enter a valid house number.","Voer een geldig huisnummer in."
"Change location","Ophaalpunt wijzigen"
"Pickup locations are disabled for Letterbox packages.",Afhaalpunten zijn niet beschikbaar voor brievenbuspakjes.
"Show opening hours","Toon openingstijden"
"Hide opening hours","Verberg openingstijden"
"From 15:00","Vanaf 15:00"
"Extra service","Extra diensten"
"Do not deliver to neighbours","Bij niet thuis, niet bij buren bezorgen"
"Please select a delivery timeframe.","Selecteer een bezorgtijd."
"Please select a pickup location.","Selecteer een afhaalpunt."
